sample_id,subject,source_split,selection_seed,heldout_pool_size
0096,BraTS-GLI-00331-000,validation,2026,251
0097,BraTS-GLI-00177-000,validation,2026,251
0098,BraTS-GLI-00800-000,validation,2026,251
0099,BraTS-GLI-01401-000,test,2026,251
0100,BraTS-GLI-01417-000,validation,2026,251
0101,BraTS-GLI-01509-000,test,2026,251
0102,BraTS-GLI-00316-000,validation,2026,251
0103,BraTS-GLI-00686-000,validation,2026,251
0104,BraTS-GLI-00540-000,test,2026,251
0105,BraTS-GLI-01370-000,test,2026,251
0106,BraTS-GLI-01487-000,validation,2026,251
0107,BraTS-GLI-00112-000,validation,2026,251
0108,BraTS-GLI-00464-000,validation,2026,251
0109,BraTS-GLI-01265-000,test,2026,251
0110,BraTS-GLI-00750-001,validation,2026,251
0111,BraTS-GLI-00548-001,validation,2026,251
0112,BraTS-GLI-00540-001,validation,2026,251
0113,BraTS-GLI-00273-000,test,2026,251
0114,BraTS-GLI-01206-000,test,2026,251
0115,BraTS-GLI-00064-000,validation,2026,251
0116,BraTS-GLI-01275-000,test,2026,251
0117,BraTS-GLI-00132-000,validation,2026,251
0118,BraTS-GLI-00688-000,test,2026,251
0119,BraTS-GLI-00395-000,test,2026,251
0120,BraTS-GLI-00188-000,test,2026,251
0121,BraTS-GLI-00060-000,validation,2026,251
0122,BraTS-GLI-01034-000,validation,2026,251
0123,BraTS-GLI-01477-000,test,2026,251
0124,BraTS-GLI-00391-000,validation,2026,251
0125,BraTS-GLI-01228-000,test,2026,251
0126,BraTS-GLI-00068-000,validation,2026,251
0127,BraTS-GLI-00470-000,test,2026,251
0128,BraTS-GLI-01364-000,test,2026,251
0129,BraTS-GLI-01431-000,validation,2026,251
0130,BraTS-GLI-00481-000,validation,2026,251
0131,BraTS-GLI-00239-000,test,2026,251
0132,BraTS-GLI-01285-000,validation,2026,251
0133,BraTS-GLI-00645-001,validation,2026,251
0134,BraTS-GLI-01031-000,validation,2026,251
0135,BraTS-GLI-00735-001,validation,2026,251
0136,BraTS-GLI-00160-000,validation,2026,251
0137,BraTS-GLI-00089-000,validation,2026,251
0138,BraTS-GLI-01231-000,validation,2026,251
0139,BraTS-GLI-01524-000,validation,2026,251
0140,BraTS-GLI-00012-000,validation,2026,251
0141,BraTS-GLI-01307-000,validation,2026,251
0142,BraTS-GLI-01298-000,validation,2026,251
0143,BraTS-GLI-00074-000,test,2026,251
0144,BraTS-GLI-01108-000,validation,2026,251
0145,BraTS-GLI-00058-000,validation,2026,251
0146,BraTS-GLI-01021-000,test,2026,251
0147,BraTS-GLI-00705-000,validation,2026,251
0148,BraTS-GLI-00426-000,test,2026,251
0149,BraTS-GLI-00303-000,validation,2026,251
0150,BraTS-GLI-01247-000,test,2026,251
0151,BraTS-GLI-00488-000,validation,2026,251
0152,BraTS-GLI-00290-000,validation,2026,251
0153,BraTS-GLI-00784-000,validation,2026,251
0154,BraTS-GLI-00380-000,validation,2026,251
0155,BraTS-GLI-00429-000,validation,2026,251
0156,BraTS-GLI-00806-000,test,2026,251
0157,BraTS-GLI-01341-000,test,2026,251
0158,BraTS-GLI-01045-000,test,2026,251
0159,BraTS-GLI-01348-000,test,2026,251
0160,BraTS-GLI-00269-000,validation,2026,251
0161,BraTS-GLI-01320-000,validation,2026,251
0162,BraTS-GLI-00138-000,test,2026,251
0163,BraTS-GLI-00718-000,test,2026,251
0164,BraTS-GLI-00810-000,test,2026,251
0165,BraTS-GLI-01329-000,validation,2026,251
0166,BraTS-GLI-00298-000,validation,2026,251
0167,BraTS-GLI-00360-000,test,2026,251
0168,BraTS-GLI-01443-000,validation,2026,251
0169,BraTS-GLI-00650-000,test,2026,251
0170,BraTS-GLI-00596-000,test,2026,251
0171,BraTS-GLI-00765-000,test,2026,251
0172,BraTS-GLI-00339-000,test,2026,251
0173,BraTS-GLI-01276-000,validation,2026,251
0174,BraTS-GLI-01442-000,test,2026,251
0175,BraTS-GLI-01029-000,validation,2026,251
0176,BraTS-GLI-00199-000,test,2026,251
0177,BraTS-GLI-00694-000,test,2026,251
0178,BraTS-GLI-01102-000,test,2026,251
0179,BraTS-GLI-00152-000,test,2026,251
0180,BraTS-GLI-00661-000,test,2026,251
0181,BraTS-GLI-00773-000,validation,2026,251
0182,BraTS-GLI-01092-000,test,2026,251
0183,BraTS-GLI-00379-000,test,2026,251
0184,BraTS-GLI-00054-000,validation,2026,251
0185,BraTS-GLI-01073-000,test,2026,251
0186,BraTS-GLI-01087-000,test,2026,251
0187,BraTS-GLI-00630-001,test,2026,251
0188,BraTS-GLI-00288-000,test,2026,251
0189,BraTS-GLI-00680-000,test,2026,251
0190,BraTS-GLI-01662-000,test,2026,251
0191,BraTS-GLI-00370-000,validation,2026,251
0192,BraTS-GLI-00750-000,test,2026,251
0193,BraTS-GLI-00301-000,test,2026,251
0194,BraTS-GLI-01113-000,test,2026,251
0195,BraTS-GLI-01337-000,validation,2026,251
0196,BraTS-GLI-00478-000,validation,2026,251
0197,BraTS-GLI-01003-000,validation,2026,251
0198,BraTS-GLI-01368-000,test,2026,251
0199,BraTS-GLI-00621-000,test,2026,251
